id,add,datetime,time_casa,time_fora,bethouse1,mercado1,valor1,odd1,aposta1,resultado1,bethouse2,mercado2,valor2,odd2,aposta2,resultado2,bethouse3,mercado3,valor3,odd3,aposta3,resultado3,lucro_estimado,lucro_per_estimado,lucroReal,lucro_perReal,esporte
60,2023-05-03 03:20:58,2023-05-03 14:00:00,Hacken,"Djurgardens
",BetFair,TO,11.5,2.8,19.28,win,Pinnacle,TU,11.5,1.68,32.13,loss,,,,0.0,0.0,,Football,,2.57,0.049990274265707055,
61,2023-05-03 03:50:43,2023-05-04 08:45:00,Veroia,"Panathinaikos B
Veroia",FavBet,TO,2.0,1.99,11.36,return,VBet,TU,2.0,2.33,9.7,return,,,,0.0,0.0,,Soccer,,0.0,0.0,
62,2023-05-03 05:17:30,2023-05-03 06:30:00,Moreland City,"Mooroolbark SC
",BetFair,Not,,2.2,4.39,loss,Pinnacle,TO2,0.5,2.8,3.45,win,,,,0.0,0.0,,Soccer,,1.82,0.2321428571428571,
63,2023-05-03 05:19:40,2023-05-04 14:00:00,IFK Goteborg,"Degerfors
",BetFair,TO,11.5,3.1,8.28,win,Pinnacle,TU,11.5,1.657,15.5,loss,,,,0.0,0.0,,Football,,1.89,0.07947855340622371,
64,2023-05-03 05:22:12,2023-05-04 14:00:00,IFK Goteborg,"Degerfors
",BetFair,TO,10.5,2.2,14.47,win,Pinnacle,TU,10.5,1.99,16.0,loss,,,,0.0,0.0,,Football,,1.36,0.04463406629471612,
65,2023-05-03 08:49:45,2023-05-03 09:00:00,Kakamega Homeboyz,"Wazito
",Pinnacle,AH1,0.0,2.29,11.46,win,BetFair,DNB2,,2.2,11.93,loss,,,,0.0,0.0,,Soccer,,2.85,0.1218469431380932,
66,2023-05-03 09:14:55,2023-05-03 12:59:00,Juventus,"Lecce
",FavBet,TU,11.0,1.53,89.15,loss,BetFair,TO,10.5,2.7,17.5,win,BetFair,TO,11.5,3.8,23.46,win,Soccer,,6.29,0.04834370916916455,
67,2023-05-03 09:17:16,2023-05-03 12:59:00,Juventus,"Lecce
",BetFair,TO,9.5,2.05,12.46,win,FavBet,TU,9.5,2.12,12.05,loss,,,,0.0,0.0,,Soccer,,1.03,0.04202366381068951,
68,2023-05-03 09:24:47,2023-05-03 14:00:00,Arsenal Tivat,Iskra Danilovgrad,Pinnacle,TO,2.0,2.16,19.7,win,FavBet,TU,2.0,2.11,20.27,loss,,,,0.0,0.0,,2.70,6.74,2.58,0.06454841130848137,
69,2023-05-03 09:44:18,2023-05-03 15:30:00,Great Britain,"Romania
",FavBet,TO,7.0,2.09,30.96,return,Pinnacle,TU,7.0,2.13,30.38,return,,,,0.0,0.0,,Hockey,,0.0,0.0,
70,2023-05-03 09:56:05,2023-05-03 12:59:00,Juventus,"Lecce
",BetFair,TO,10.5,2.8,12.12,win,FavBet,TU,10.5,1.66,20.45,loss,,,,0.0,0.0,,Soccer,,1.37,0.0420632483880872,
71,2023-05-03 10:00:57,2023-05-03 16:00:00,Monza,"AS Roma
",FavBet,TO1,4.0,2.22,11.07,return,BetFair,TO1,3.5,1.68,8.04,win,BetFair,TO1,4.5,2.6,4.26,loss,Soccer,,1.21,0.051775780915703895,
72,2023-05-03 10:05:34,2023-05-03 12:00:00,CFR Cluj II,"Csm Sighetu Marmatiei
",BetFair,DNB1,,1.7,20.5,return,Pinnacle,AH2,0.5,1.952,7.28,win,Pinnacle,2,,3.75,5.41,loss,Soccer,,1.52,0.0457969267851762,
73,2023-05-03 10:08:12,2023-05-03 12:00:00,CFR Cluj II,"Csm Sighetu Marmatiei
",BetFair,1X,,1.44,73.36,win,Pinnacle,2,,3.79,27.87,loss,,,,0.0,0.0,,Soccer,,4.41,0.0435641608218907,
74,2023-05-03 11:30:42,2023-05-03 12:30:00,Sava Kranj,"NK Sencur
",VBet,TO1,0.5,2.1,13.3,win,BetFair,TU1,0.5,2.05,13.66,loss,,,,0.0,0.0,,0.97,3.73,0.97,0.035979228486646884,Football
75,2023-05-03 11:37:49,2023-05-03 12:30:00,NK Sava Kranj,"NK Sencur
",BetFair,TO2,2.5,2.2,11.93,win,Pinnacle,TU2,2.5,2.21,11.88,loss,,,,0.0,0.0,,2.44,10.25,2.44,0.1024779504409911,Soccer
76,2023-05-03 11:41:01,2023-05-03 12:00:00,Vedita Colonesti FC,"CSO Petrolul Potcoava
",VBet,1,,2.2,20.78,win,Pinnacle,AH2,0.5,2.05,22.3,loss,,,,0.0,0.0,,2.64,6.12,2.64,0.061281337047353765,Soccer
77,2023-05-03 11:49:03,2023-05-03 12:00:00,Nd Primorje,"NK Rogaska
",BetFair,DNB1,,2.8,10.6,win,Pinnacle,AH2,0.0,1.641,18.09,loss,,,,0.0,0.0,,0.99,3.47,0.99,0.0345067967933077,Soccer
78,2023-05-03 12:28:36,2023-05-03 12:59:00,Juventus,Lecce,BetFair,TO,9.5,2.1,12.16,win,FavBet,TU,9.5,2.12,12.05,loss,,,,0.0,0.0,,1.33,5.51,1.33,0.054935976869062375,"
Football"
79,2023-05-03 12:30:30,2023-05-03 12:59:00,Juventus,"Lecce
",BetFair,TO,10.5,3.0,11.32,win,FavBet,TU,10.5,1.66,20.45,loss,,,,0.0,0.0,,2.19,6.88,2.19,0.06893295561850803,Soccer
80,2023-05-03 12:34:47,2023-05-03 16:00:00,Liverpool,Fulham,Pinnacle,TO,3.0,1.869,31.15,loss,FavBet,TU,3.0,2.38,24.46,win,,,,0.0,0.0,,2.61,4.68,2.6,0.04675418090271534,Soccer
81,2023-05-03 12:43:53,2023-05-03 13:30:00,JaPS/47,"TuPS
",VBet,1,,1.59,25.36,loss,BetFair,X2,,3.0,13.44,win,,,,0.0,0.0,,1.52,3.92,1.52,0.03917525773195877,Football
82,2023-05-03 12:46:54,2023-05-04 15:45:00,Udinese,"Napoli
Udinese",BetFair,TO2,6.5,2.8,12.24,loss,FavBet,TU2,6.5,1.65,20.77,win,,,,0.0,0.0,,1.26,3.82,1.26,0.03817025143895789,Football
83,2023-05-03 13:58:04,2023-05-04 08:00:00,Philip Florig,"Sebastian Prechtel
",VBet,1,,2.4,53.44,loss,Pinnacle,2,,1.775,72.26,win,,,,0.0,0.0,,2.56,2.04,2.56,0.020365950676213208,Tennis
84,2023-05-03 15:15:56,2023-05-03 17:30:00,Union Huaral,"Molinos El Pirata
",BetFair,TO,1.5,2.5,12.74,loss,FavBet,TU,1.5,1.81,17.6,win,,,,0.0,0.0,,1.51,4.99,1.52,0.05009887936717204,Soccer
85,2023-05-03 15:32:46,2023-05-03 16:00:00,Liverpool,"Fulham
",FavBet,AH2,0.0,1.42,43.0,return,FavBet,X,,4.3,4.09,win,Bet365,EH1,0.0,7.0,8.64,loss,7.72,14.46,4.86,0.08720617261797954,Soccer
86,2023-05-03 15:35:23,2023-05-03 16:00:00,Liverpool,"Fulham
",Bet365,TO,3.0,1.95,18.42,loss,FavBet,TU,3.0,2.38,15.1,win,,,,0.0,0.0,,2.40,7.19,2.42,0.07219570405727922,Soccer
87,2023-05-03 15:36:53,2023-05-04 06:00:00,Ugo Blanchet,"Henrique Rocha
Ugo Blanchet",Pinnacle,1,,1.877,10.3,loss,FavBet,2,,2.4,8.04,win,,,,0.0,0.0,,0.99,5.32,0.96,0.05234460196292257,Tennis
88,2023-05-03 15:47:16,2023-05-09 12:00:00,Al-Fayha,"Al-Fateh
Al-Fayha",BetFair,DNB1,,2.4,10.25,,Pinnacle,AH2,0.0,1.833,13.42,,,,,0.0,0.0,,0.93,3.93,,,Soccer
89,2023-05-03 16:21:32,2023-05-03 23:00:00,Marquense,"Aurora FC
",Pinnacle,AH2,1.5,2.1,4.7,win,BetFair,EH1,-1.0,2.4,4.11,loss,,,,0.0,0.0,,1.06,11.98,1.06,0.12031782065834279,Football
90,2023-05-03 16:25:49,2023-05-03 21:00:00,Club Guarani,"Emelec
Club Guarani",VBet,TO,1.0,1.95,30.5,win,FavBet,TU,1.0,2.31,25.76,loss,,,,0.0,0.0,,3.21,5.74,3.22,0.05723426946320654,Soccer
91,2023-05-03 16:35:12,2023-05-04 15:45:00,Udinese,"Napoli
",FavBet,TU,11.0,1.56,24.11,win,BetFair,TO,10.5,2.5,5.4,loss,BetFair,TO,11.5,3.5,6.89,loss,1.21,3.32,1.21,0.03324175824175824,Football
92,2023-05-03 20:25:40,2023-05-03 22:00:00,Dominik Palan,"Emilio Gomez
",Pinnacle,2,,1.429,85.08,win,FavBet,1,,3.85,31.58,loss,,,,0.0,0.0,,4.92,4.22,4.92,0.04217383850505743,Tennis
